AAA
AAD
AAD imm8u
AAM
AAM imm8u
AAS
ADC AL, imm8u
PSUBW mm, mm/m64
PSUBW xmm1, xmm2/m128
PTEST xmm1, xmm2/m128
PUNPCKHBW mm, mm/m64
PUNPCKHBW xmm1, xmm2/m128
PUNPCKHDQ mm, mm/m64
PUNPCKHDQ xmm1, xmm2/m128
PUNPCKHQDQ xmm1, xmm2/m128
PUNPCKHWD mm, mm/m64
PUNPCKHWD xmm1, xmm2/m128
PUNPCKLBW mm, mm/m32
PUNPCKLBW xmm1, xmm2/m128
PUNPCKLDQ mm, mm/m32
PUNPCKLDQ xmm1, xmm2/m128
PUNPCKLQDQ xmm1, xmm2/m128
PUNPCKLWD mm, mm/m32
PUNPCKLWD xmm1, xmm2/m128
PUSH CS
PUSH DS
PUSH ES
PUSH FS
PUSH GS
PUSH SS
PUSH imm16
PUSH imm32
PUSH imm8
PUSH r/m16
PUSH r/m32
PUSH r/m64
PUSH r16op
PUSH r32op
PUSH r64op
PUSHA
PUSHAD
PUSHF
PUSHFD
PUSHFQ
PXOR mm, mm/m64
PXOR xmm1, xmm2/m128
RCL r/m16, 1
RCL r/m16, CL
RCL r/m16, imm8u
RCL r/m32, 1
RCL r/m32, CL
RCL r/m32, imm8u
RCL r/m64, 1
RCL r/m64, CL
RCL r/m64, imm8u
RCL r/m8, 1
RCL r/m8, CL
RCL r/m8, imm8u
RCPPS xmm1, xmm2/m128
RCPSS xmm1, xmm2/m32
RCR r/m16, 1
RCR r/m16, CL
RCR r/m16, imm8u
RCR r/m32, 1
RCR r/m32, CL
RCR r/m32, imm8u
RCR r/m64, 1
RCR r/m64, CL
RCR r/m64, imm8u
RCR r/m8, 1
RCR r/m8, CL
RCR r/m8, imm8u
RDFSBASE r/m32
RDFSBASE r/m64
RDGSBASE r/m32
RDGSBASE r/m64
RDMSR
RDPMC
RDRAND r64
RDRAND rmf16
RDRAND rmf32
RDTSC
RDTSCP
REP INS m16, DX
REP INS m32, DX
REP INS m8, DX
REP INS r/m32, DX
REP LODS AL
REP LODS AX
REP LODS EAX
REP LODS RAX
REP MOVS m16, m16
REP MOVS m32, m32
REP MOVS m64, m64
REP MOVS m8, m8
REP OUTS DX, r/m16
REP OUTS DX, r/m32
REP OUTS DX, r/m8
REP STOS m16
REP STOS m32
REP STOS m64
REP STOS m8
REPE CMPS m16, m16
REPE CMPS m32, m32
REPE CMPS m64, m64
REPE CMPS m8, m8
REPE SCAS m16
REPE SCAS m32
REPE SCAS m8
RET
RET imm16u
ROL r/m16, 1
ROL r/m16, CL
ROL r/m16, imm8u
ROL r/m32, 1
ROL r/m32, CL
ROL r/m32, imm8u
ROL r/m64, 1
ROL r/m64, CL
ROL r/m64, imm8u
ROL r/m8, 1
ROL r/m8, CL
ROL r/m8, imm8u
ROR r/m16, 1
ROR r/m16, CL
ROR r/m16, imm8u
ROR r/m32, 1
ROR r/m32, CL
ROR r/m32, imm8u
ROR r/m64, 1
ROR r/m64, CL
ROR r/m64, imm8u
ROR r/m8, 1
ROR r/m8, CL
ROR r/m8, imm8u
RORX r32, r/m32, imm8u
RORX r64, r/m64, imm8u
ROUNDPD xmm1, xmm2/m128, imm8u
ROUNDPS xmm1, xmm2/m128, imm8u
ROUNDSD xmm1, xmm2/m64, imm8u
ROUNDSS xmm1, xmm2/m32, imm8u
RSM
RSQRTPS xmm1, xmm2/m128
RSQRTSS xmm1, xmm2/m32
SAHF
SAL r/m16, 1
SAL r/m16, CL
SAL r/m16, imm8
SAL r/m32, 1
SAL r/m32, CL
SAL r/m32, imm8
SAL r/m64, 1
SAL r/m64, CL
SAL r/m64, imm8
SAL r/m8, 1
SAL r/m8, CL
SAL r/m8, imm8u
SAR r/m16, 1
SAR r/m16, CL
SAR r/m16, imm8u
SAR r/m32, 1
SAR r/m32, CL
SAR r/m32, imm8u
SAR r/m64, 1
SAR r/m64, CL
SAR r/m64, imm8u
SAR r/m8, 1
SAR r/m8, CL
SAR r/m8, imm8u
SARX r32a, r/m32, r32b
SARX r64a, r/m64, r64b
SBB AL, imm8u
SBB AX, imm16
SBB EAX, imm32
SBB RAX, imm32
SBB r/m16, imm16
SBB r/m16, imm8
SBB r/m16, r16
SBB r/m32, imm32
SBB r/m32, imm8
SBB r/m32, r32
SBB r/m64, imm32
SBB r/m64, imm8
SBB r/m64, r64
SBB r/m8, imm8u
SBB r/m8, r8
SBB r16, r/m16
SBB r32, r/m32
SBB r64, r/m64
SBB r8, r/m8
SCAS m16
SCAS m32
SCAS m64
SCAS m8
SCASB
SCASD
SCASQ
SCASW
SETA r/m8
SETAE r/m8
SETB r/m8
SETBE r/m8
SETC r/m8
SETE r/m8
SETG r/m8
SETGE r/m8
SETL r/m8
SETLE r/m8
SETNA r/m8
SETNAE r/m8
SETNB r/m8
SETNBE r/m8
SETNC r/m8
SETNE r/m8
SETNG r/m8
SETNGE r/m8
SETNL r/m8
SETNLE r/m8
SETNO r/m8
SETNP r/m8
SETNS r/m8
SETNZ r/m8
SETO r/m8
SETP r/m8
SETPE r/m8
SETPO r/m8
SETS r/m8
SETZ r/m8
SFENCE
SGDT m
SHL r/m16, 1
SHL r/m16, CL
SHL r/m16, imm8u
SHL r/m32, 1
SHL r/m32, CL
SHL r/m32, imm8u
SHL r/m64, 1
SHL r/m64, CL
SHL r/m64, imm8u
SHL r/m8, 1
SHL r/m8, CL
SHL r/m8, imm8u
SHLD r/m16, r16, CL
SHLD r/m16, r16, imm8u
SHLD r/m32, r32, CL
SHLD r/m32, r32, imm8u
SHLD r/m64, r64, CL
SHLD r/m64, r64, imm8u
SHLX r32a, r/m32, r32b
SHLX r64a, r/m64, r64b
SHR r/m16, 1
SHR r/m16, CL
SHR r/m16, imm8u
SHR r/m32, 1
SHR r/m32, CL
SHR r/m32, imm8u
SHR r/m64, 1
SHR r/m64, CL
SHR r/m64, imm8u
SHR r/m8, 1
SHR r/m8, CL
SHR r/m8, imm8u
SHRD r/m16, r16, CL
SHRD r/m16, r16, imm8u
SHRD r/m32, r32, CL
SHRD r/m32, r32, imm8u
SHRD r/m64, r64, CL
SHRD r/m64, r64, imm8u
SHRX r32a, r/m32, r32b
SHRX r64a, r/m64, r64b
SHUFPD xmm1, xmm2/m128, imm8u
SHUFPS xmm1, xmm2/m128, imm8u
SIDT m
SLDT r/m16
SLDT r32/m16
SLDT r64/m16
SMSW r/m16
SMSW r32/m16
SMSW r64/m16
SQRTPD xmm1, xmm2/m128
SQRTPS xmm1, xmm2/m128
SQRTSD xmm1, xmm2/m64
SQRTSS xmm1, xmm2/m32
STC
STD
STI
STMXCSR m32
STOS m16
STOS m32
STOS m64
STOS m8
STOSB
STOSD
STOSQ
STOSW
STR r/m16
STR r32/m16
STR r64/m16
SUB AL, imm8u
SUB AX, imm16
SUB EAX, imm32
SUB RAX, imm32
SUB r/m16, imm16
SUB r/m16, imm8
SUB r/m16, r16
SUB r/m32, imm32
SUB r/m32, imm8
SUB r/m32, r32
SUB r/m64, imm32
SUB r/m64, imm8
SUB r/m64, r64
SUB r/m8, imm8u
SUB r/m8, r8
SUB r16, r/m16
SUB r32, r/m32
SUB r64, r/m64
SUB r8, r/m8
SUBPD xmm1, xmm2/m128
SUBPS xmm1 xmm2/m128
SUBSD xmm1, xmm2/m64
SUBSS xmm1, xmm2/m32
SWAPGS
SYSCALL
SYSENTER
SYSEXIT
SYSRET
TEST AL, imm8u
TEST AX, imm16
TEST EAX, imm32
TEST RAX, imm32
TEST r/m16, imm16
TEST r/m16, r16
TEST r/m32, imm32
TEST r/m32, r32
TEST r/m64, imm32
TEST r/m64, r64
TEST r/m8, imm8u
TEST r/m8, r8
TZCNT r16, r/m16
TZCNT r32, r/m32
TZCNT r64, r/m64
UCOMISD xmm1, xmm2/m64
UCOMISS xmm1, xmm2/m32
UD0 r32, r/m32
UD1 r32, r/m32
UD2
UNPCKHPD xmm1, xmm2/m128
UNPCKHPS xmm1, xmm2/m128
UNPCKLPD xmm1, xmm2/m128
UNPCKLPS xmm1, xmm2/m128
VADDPD xmm1, xmm2, xmm3/m128
VADDPD ymm1, ymm2, ymm3/m256
VADDPS xmm1, xmm2, xmm3/m128
VADDPS ymm1, ymm2, ymm3/m256
VADDSD xmm1, xmm2, xmm3/m64
VADDSS xmm1, xmm2, xmm3/m32
VADDSUBPD xmm1, xmm2, xmm3/m128
VADDSUBPD ymm1, ymm2, ymm3/m256
VADDSUBPS xmm1, xmm2, xmm3/m128
VADDSUBPS ymm1, ymm2, ymm3/m256
VAESDEC xmm1, xmm2, xmm3/m128
VAESDECLAST xmm1, xmm2, xmm3/m128
VAESENC xmm1, xmm2, xmm3/m128
VAESENCLAST xmm1, xmm2, xmm3/m128
VAESIMC xmm1, xmm2/m128
VAESKEYGENASSIST xmm1, xmm2/m128, imm8
VANDNPD xmm1, xmm2, xmm3/m128
VANDNPD ymm1, ymm2, ymm3/m256
VANDNPS xmm1, xmm2, xmm3/m128
VANDNPS ymm1, ymm2, ymm3/m256
VANDPD xmm1, xmm2, xmm3/m128
VANDPD ymm1, ymm2, ymm3/m256
VANDPS xmm1, xmm2, xmm3/m128
VANDPS ymm1, ymm2, ymm3/m256
VBLENDPD xmm1, xmm2, xmm3/m128, imm8
VBLENDPD ymm1, ymm2, ymm3/m256, imm8
VBLENDPS xmm1, xmm2, xmm3/m128, imm8
VBLENDPS ymm1, ymm2, ymm3/m256, imm8
VBLENDVPD xmm1, xmm2, xmm3/m128, xmm4
VBLENDVPD ymm1, ymm2, ymm3/m256, ymm4
VBLENDVPS xmm1, xmm2, xmm3/m128, xmm4
VBLENDVPS ymm1, ymm2, ymm3/m256, ymm4
VBROADCASTF128 ymm1, m128
VBROADCASTI128 ymm1, m128
VBROADCASTSD ymm1, m64
VBROADCASTSD ymm1, xmm2
VBROADCASTSS xmm1, m32
VBROADCASTSS xmm1, xmm2
VBROADCASTSS ymm1, m32
VBROADCASTSS ymm1, xmm2
VCMPPD xmm1, xmm2, xmm3/m128, imm8
VCMPPD ymm1, ymm2, ymm3/m256, imm8
VCMPPS xmm1, xmm2, xmm3/m128, imm8
VCMPPS ymm1, ymm2, ymm3/m256, imm8
VCMPSD xmm1, xmm2, xmm3/m64, imm8
VCMPSS xmm1, xmm2, xmm3/m32, imm8
VCOMISD xmm1, xmm2/m64
VCOMISS xmm1, xmm2/m32
VCVTDQ2PD xmm1, xmm2/m64
VCVTDQ2PD ymm1, xmm2/m128
VCVTDQ2PS xmm1, xmm2/m128
VCVTDQ2PS ymm1, ymm2/m256
VCVTPD2DQ xmm1, xmm2/m128
VCVTPD2DQ xmm1, ymm2/m256
VCVTPD2PS xmm1, xmm2/m128
VCVTPD2PS xmm1, ymm2/m256
VCVTPH2PS xmm1, xmm2/m64
VCVTPH2PS ymm1, xmm2/m128
VCVTPS2DQ xmm1, xmm2/m128
VCVTPS2DQ ymm1, ymm2/m256
VCVTPS2PD xmm1, xmm2/m64
VCVTPS2PD ymm1, xmm2/m128
VCVTPS2PH xmm1/m128, ymm2, imm8
VCVTPS2PH xmm1/m64, xmm2, imm8
VCVTSD2SI r32, xmm1/m64
VCVTSD2SI r64, xmm1/m64
VCVTSD2SS xmm1, xmm2, xmm3/m64
VCVTSI2SD xmm1, xmm2, r/m32
VCVTSI2SD xmm1, xmm2, r/m64
VCVTSI2SS xmm1, xmm2, r/m32
VCVTSI2SS xmm1, xmm2, r/m64
VCVTSS2SD xmm1, xmm2, xmm3/m32
VCVTSS2SI r32, xmm1/m32
VCVTSS2SI r64, xmm1/m32
VCVTTPD2DQ xmm1, xmm2/m128
VCVTTPD2DQ xmm1, ymm2/m256
VCVTTPS2DQ xmm1, xmm2/m128
VCVTTPS2DQ ymm1, ymm2/m256
VCVTTSD2SI r32, xmm1/m64
VCVTTSD2SI r64, xmm1/m64
VCVTTSS2SI r32, xmm1/m32
VCVTTSS2SI r64, xmm1/m32
VDIVPD xmm1, xmm2, xmm3/m128
VDIVPD ymm1, ymm2, ymm3/m256
VDIVPS xmm1, xmm2, xmm3/m128
VDIVPS ymm1, ymm2, ymm3/m256
VDIVSD xmm1, xmm2, xmm3/m64
VDIVSS xmm1, xmm2, xmm3/m32
VDPPD xmm1, xmm2, xmm3/m128, imm8
VDPPS xmm1, xmm2, xmm3/m128, imm8
VDPPS ymm1, ymm2, ymm3/m256, imm8
VERR r/m16
VERW r/m16
VEXTRACTF128 xmm1/m128, ymm2, imm8
VEXTRACTI128 xmm1/m128, ymm2, imm8
VEXTRACTPS r/m32, xmm1, imm8
VFMADD132PD xmm0, xmm1, xmm2/m128
VFMADD132PD ymm0, ymm1, ymm2/m256
VFMADD132PS xmm0, xmm1, xmm2/m128
VFMADD132PS ymm0, ymm1, ymm2/m256
VFMADD132SD xmm0, xmm1, xmm2/m64
VFMADD132SS xmm0, xmm1, xmm2/m32
VFMADD213PD xmm0, xmm1, xmm2/m128
VFMADD213PD ymm0, ymm1, ymm2/m256
VFMADD213PS xmm0, xmm1, xmm2/m128
VFMADD213PS ymm0, ymm1, ymm2/m256
VFMADD213SD xmm0, xmm1, xmm2/m64
VFMADD213SS xmm0, xmm1, xmm2/m32
VFMADD231PD xmm0, xmm1, xmm2/m128
VFMADD231PD ymm0, ymm1, ymm2/m256
VFMADD231PS xmm0, xmm1, xmm2/m128
VFMADD231PS ymm0, ymm1, ymm2/m256
VFMADD231SD xmm0, xmm1, xmm2/m64
VFMADD231SS xmm0, xmm1, xmm2/m32
VFMADDSUB132PD xmm0, xmm1, xmm2/m128
VFMADDSUB132PD ymm0, ymm1, ymm2/m256
VFMADDSUB132PS xmm0, xmm1, xmm2/m128
VFMADDSUB132PS ymm0, ymm1, ymm2/m256
VFMADDSUB213PD xmm0, xmm1, xmm2/m128
VFMADDSUB213PD ymm0, ymm1, ymm2/m256
VFMADDSUB213PS xmm0, xmm1, xmm2/m128
VFMADDSUB213PS ymm0, ymm1, ymm2/m256
VFMADDSUB231PD xmm0, xmm1, xmm2/m128
VFMADDSUB231PD ymm0, ymm1, ymm2/m256
VFMADDSUB231PS xmm0, xmm1, xmm2/m128
VFMADDSUB231PS ymm0, ymm1, ymm2/m256
VFMSUB132PD xmm0, xmm1, xmm2/m128
VFMSUB132PD ymm0, ymm1, ymm2/m256
VFMSUB132PS xmm0, xmm1, xmm2/m128
VFMSUB132PS ymm0, ymm1, ymm2/m256
VFMSUB132SD xmm0, xmm1, xmm2/m64
VFMSUB132SS xmm0, xmm1, xmm2/m32
VFMSUB213PD xmm0, xmm1, xmm2/m128
VFMSUB213PD ymm0, ymm1, ymm2/m256
VFMSUB213PS xmm0, xmm1, xmm2/m128
VFMSUB213PS ymm0, ymm1, ymm2/m256
VFMSUB213SD xmm0, xmm1, xmm2/m64
VFMSUB213SS xmm0, xmm1, xmm2/m32
VFMSUB231PD xmm0, xmm1, xmm2/m128
VFMSUB231PD ymm0, ymm1, ymm2/m256
VFMSUB231PS xmm0, xmm1, xmm2/m128
VFMSUB231PS ymm0, ymm1, ymm2/m256
VFMSUB231SD xmm0, xmm1, xmm2/m64
VFMSUB231SS xmm0, xmm1, xmm2/m32
VFMSUBADD132PD xmm0, xmm1, xmm2/m128
VFMSUBADD132PD ymm0, ymm1, ymm2/m256
VFMSUBADD132PS xmm0, xmm1, xmm2/m128
VFMSUBADD132PS ymm0, ymm1, ymm2/m256
VFMSUBADD213PD xmm0, xmm1, xmm2/m128
VFMSUBADD213PD ymm0, ymm1, ymm2/m256
VFMSUBADD213PS xmm0, xmm1, xmm2/m128
VFMSUBADD213PS ymm0, ymm1, ymm2/m256
VFMSUBADD231PD xmm0, xmm1, xmm2/m128
VFMSUBADD231PD ymm0, ymm1, ymm2/m256
VFMSUBADD231PS xmm0, xmm1, xmm2/m128
VFMSUBADD231PS ymm0, ymm1, ymm2/m256
VFNMADD132PD xmm0, xmm1, xmm2/m128
VFNMADD132PD ymm0, ymm1, ymm2/m256
VFNMADD132PS xmm0, xmm1, xmm2/m128
VFNMADD132PS ymm0, ymm1, ymm2/m256
VFNMADD132SD xmm0, xmm1, xmm2/m64
VFNMADD132SS xmm0, xmm1, xmm2/m32
VFNMADD213PD xmm0, xmm1, xmm2/m128
VFNMADD213PD ymm0, ymm1, ymm2/m256
VFNMADD213PS xmm0, xmm1, xmm2/m128
VFNMADD213PS ymm0, ymm1, ymm2/m256
VFNMADD213SD xmm0, xmm1, xmm2/m64
VFNMADD213SS xmm0, xmm1, xmm2/m32
VFNMADD231PD xmm0, xmm1, xmm2/m128
VFNMADD231PD ymm0, ymm1, ymm2/m256
VFNMADD231PS xmm0, xmm1, xmm2/m128
VFNMADD231PS ymm0, ymm1, ymm2/m256
VFNMADD231SD xmm0, xmm1, xmm2/m64
VFNMADD231SS xmm0, xmm1, xmm2/m32
VFNMSUB132PD xmm0, xmm1, xmm2/m128
VFNMSUB132PD ymm0, ymm1, ymm2/m256
VFNMSUB132PS xmm0, xmm1, xmm2/m128
VFNMSUB132PS ymm0, ymm1, ymm2/m256
VFNMSUB132SD xmm0, xmm1, xmm2/m64
VFNMSUB132SS xmm0, xmm1, xmm2/m32
VFNMSUB213PD xmm0, xmm1, xmm2/m128
VFNMSUB213PD ymm0, ymm1, ymm2/m256
VFNMSUB213PS xmm0, xmm1, xmm2/m128
VFNMSUB213PS ymm0, ymm1, ymm2/m256
VFNMSUB213SD xmm0, xmm1, xmm2/m64
VFNMSUB213SS xmm0, xmm1, xmm2/m32
VFNMSUB231PD xmm0, xmm1, xmm2/m128
VFNMSUB231PD ymm0, ymm1, ymm2/m256
VFNMSUB231PS xmm0, xmm1, xmm2/m128
VFNMSUB231PS ymm0, ymm1, ymm2/m256
VFNMSUB231SD xmm0, xmm1, xmm2/m64
VFNMSUB231SS xmm0, xmm1, xmm2/m32
VGATHERDPD xmm1, vm32x, xmm2
VGATHERDPD ymm1, vm32x, ymm2
VGATHERDPS xmm1, vm32x, xmm2
VGATHERDPS ymm1, vm32y, ymm2
VGATHERQPD xmm1, vm64x, xmm2
VGATHERQPD ymm1, vm64y, ymm2
VGATHERQPS xmm1, vm64x, xmm2
VGATHERQPS xmm1, vm64y, xmm2
VHADDPD xmm1, xmm2, xmm3/m128
VHADDPD ymm1, ymm2, ymm3/m256
VHADDPS xmm1, xmm2, xmm3/m128
VHADDPS ymm1, ymm2, ymm3/m256
VHSUBPD xmm1, xmm2, xmm3/m128
VHSUBPD ymm1, ymm2, ymm3/m256
VHSUBPS xmm1, xmm2, xmm3/m128
VHSUBPS ymm1, ymm2, ymm3/m256
VINSERTF128 ymm1, ymm2, xmm3/m128, imm8
VINSERTI128 ymm1, ymm2, xmm3/m128, imm8
VINSERTPS xmm1, xmm2, xmm3/m32, imm8
VLDDQU xmm1, m128
VLDDQU ymm1, m256
VLDMXCSR m32
VMASKMOVDQU xmm1, xmm2
VMASKMOVPD m128, xmm1, xmm2
VMASKMOVPD m256, ymm1, ymm2
VMASKMOVPD xmm1, xmm2, m128
VMASKMOVPD ymm1, ymm2, m256
VMASKMOVPS m128, xmm1, xmm2
VMASKMOVPS m256, ymm1, ymm2
VMASKMOVPS xmm1, xmm2, m128
VMASKMOVPS ymm1, ymm2, m256
VMAXPD xmm1, xmm2, xmm3/m128
VMAXPD ymm1, ymm2, ymm3/m256
VMAXPS xmm1, xmm2, xmm3/m128
VMAXPS ymm1, ymm2, ymm3/m256
VMAXSD xmm1, xmm2, xmm3/m64
VMAXSS xmm1, xmm2, xmm3/m32
VMINPD xmm1, xmm2, xmm3/m128
VMINPD ymm1, ymm2, ymm3/m256
VMINPS xmm1, xmm2, xmm3/m128
VMINPS ymm1, ymm2, ymm3/m256
VMINSD xmm1, xmm2, xmm3/m64
VMINSS xmm1, xmm2, xmm3/m32
VMOVAPD xmm1, xmm2/m128
VMOVAPD xmm2/m128, xmm1
VMOVAPD ymm1, ymm2/m256
VMOVAPD ymm2/m256, ymm1
VMOVAPS xmm1, xmm2/m128
VMOVAPS xmm2/m128, xmm1
VMOVAPS ymm1, ymm2/m256
VMOVAPS ymm2/m256, ymm1
VMOVD r32/m32, xmm1
VMOVD xmm1, r32/m32
VMOVDDUP xmm1, xmm2/m64
VMOVDDUP ymm1, ymm2/m256
VMOVDQA xmm1, xmm2/m128
VMOVDQA xmm2/m128, xmm1
VMOVDQA ymm1, ymm2/m256
VMOVDQA ymm2/m256, ymm1
VMOVDQU xmm1, xmm2/m128
VMOVDQU xmm2/m128, xmm1
VMOVDQU ymm1, ymm2/m256
VMOVDQU ymm2/m256, ymm1
VMOVHLPS xmm1, xmm2, xmm3
VMOVHPD m64, xmm1
VMOVHPD xmm2, xmm1, m64
VMOVHPS m64, xmm1
VMOVHPS xmm2, xmm1, m64
VMOVLHPS xmm1, xmm2, xmm3
VMOVLPD m64, xmm1
VMOVLPD xmm2, xmm1, m64
VMOVLPS m64, xmm1
VMOVLPS xmm2, xmm1, m64
VMOVMSKPD r32, xmm2
VMOVMSKPD r32, ymm2
VMOVMSKPS r32, xmm2
VMOVMSKPS r32, ymm2
VMOVNTDQ m128, xmm1
VMOVNTDQ m256, ymm1
VMOVNTDQA xmm1, m128
VMOVNTDQA ymm1, m256
VMOVNTPD m128, xmm1
VMOVNTPD m256, ymm1
VMOVNTPS m128, xmm1
VMOVNTPS m256, ymm1
VMOVQ r64/m64, xmm1
VMOVQ xmm1, m64
VMOVQ xmm1, r64/m64
VMOVQ xmm1, xmm2
VMOVQ xmm1/m64, xmm2
VMOVSD m64, xmm1
VMOVSD xmm1, m64
VMOVSD xmm1, xmm2, xmm3
VMOVSHDUP xmm1, xmm2/m128
VMOVSHDUP ymm1, ymm2/m256
VMOVSLDUP xmm1, xmm2/m128
VMOVSLDUP ymm1, ymm2/m256
VMOVSS m32, xmm1
VMOVSS xmm1, m32
VMOVSS xmm1, xmm2, xmm3
VMOVUPD xmm1, xmm2/m128
VMOVUPD xmm2/m128, xmm1
VMOVUPD ymm1, ymm2/m256
VMOVUPD ymm2/m256, ymm1
VMOVUPS xmm1, xmm2/m128
VMOVUPS xmm2/m128, xmm1
VMOVUPS ymm1, ymm2/m256
VMOVUPS ymm2/m256, ymm1
VMPSADBW xmm1, xmm2, xmm3/m128, imm8
VMPSADBW ymm1, ymm2, ymm3/m256, imm8
VMULPD xmm1, xmm2, xmm3/m128
VMULPD ymm1, ymm2, ymm3/m256
VMULPS xmm1, xmm2, xmm3/m128
VMULPS ymm1, ymm2, ymm3/m256
VMULSD xmm1, xmm2, xmm3/m64
VMULSS xmm1, xmm2, xmm3/m32
VORPD xmm1, xmm2, xmm3/m128
VORPD ymm1, ymm2, ymm3/m256
VORPS xmm1, xmm2, xmm3/m128
VORPS ymm1, ymm2, ymm3/m256
VPABSB xmm1, xmm2/m128
VPABSB ymm1, ymm2/m256
VPABSD xmm1, xmm2/m128
VPABSD ymm1, ymm2/m256
VPABSW xmm1, xmm2/m128
VPABSW ymm1, ymm2/m256
VPACKSSDW xmm1, xmm2, xmm3/m128
VPACKSSDW ymm1, ymm2, ymm3/m256
VPACKSSWB xmm1, xmm2, xmm3/m128
VPACKSSWB ymm1, ymm2, ymm3/m256
VPACKUSDW xmm1, xmm2, xmm3/m128
VPACKUSDW ymm1, ymm2, ymm3/m256
VPACKUSWB xmm1, xmm2, xmm3/m128
VPACKUSWB ymm1, ymm2, ymm3/m256
VPADDB xmm1, xmm2, xmm3/m128
VPADDB ymm1, ymm2, ymm3/m256
VPADDD xmm1, xmm2, xmm3/m128
VPADDD ymm1, ymm2, ymm3/m256
VPADDQ xmm1, xmm2, xmm3/m128
VPADDQ ymm1, ymm2, ymm3/m256
VPADDSB xmm1, xmm2, xmm3/m128
VPADDSB ymm1, ymm2, ymm3/m256
VPADDSW xmm1, xmm2, xmm3/m128
VPADDSW ymm1, ymm2, ymm3/m256
VPADDUSB xmm1, xmm2, xmm3/m128
VPADDUSB ymm1, ymm2, ymm3/m256
VPADDUSW xmm1, xmm2, xmm3/m128
VPADDUSW ymm1, ymm2, ymm3/m256
VPADDW xmm1, xmm2, xmm3/m128
VPADDW ymm1, ymm2, ymm3/m256
VPALIGNR xmm1, xmm2, xmm3/m128, imm8
VPALIGNR ymm1, ymm2, ymm3/m256, imm8
VPAND xmm1, xmm2, xmm3/m128
VPAND ymm1, ymm2, ymm3/.m256
VPANDN xmm1, xmm2, xmm3/m128
VPANDN ymm1, ymm2, ymm3/m256
VPAVGB xmm1, xmm2, xmm3/m128
VPAVGB ymm1, ymm2, ymm3/m256
VPAVGW xmm1, xmm2, xmm3/m128
VPAVGW ymm1, ymm2, ymm3/m256
VPBLENDD xmm1, xmm2, xmm3/m128, imm8
VPBLENDD ymm1, ymm2, ymm3/m256, imm8
VPBLENDVB xmm1, xmm2, xmm3/m128, xmm4
VPBLENDVB ymm1, ymm2, ymm3/m256, ymm4
VPBLENDW xmm1, xmm2, xmm3/m128, imm8
VPBLENDW ymm1, ymm2, ymm3/m256, imm8
VPBROADCASTB xmm1, xmm2/m8
VPBROADCASTB ymm1, xmm2/m8
VPBROADCASTD xmm1, xmm2/m32
VPBROADCASTD ymm1, xmm2/m32
VPBROADCASTQ xmm1, xmm2/m64
VPBROADCASTQ ymm1, xmm2/m64
VPBROADCASTW xmm1, xmm2/m16
VPBROADCASTW ymm1, xmm2/m16
VPCLMULQDQ xmm1, xmm2, xmm3/m128, imm8
VPCMPEQB xmm1, xmm2, xmm3/m128
VPCMPEQD xmm1, xmm2, xmm3/m128
VPCMPEQD ymm1, ymm2, ymm3 /m256
VPCMPEQQ xmm1, xmm2, xmm3/m128
VPCMPEQQ ymm1, ymm2, ymm3 /m256
VPCMPEQW xmm1, xmm2, xmm3/m128
VPCMPEQW ymm1, ymm2, ymm3 /m256
VPCMPESTRI xmm1, xmm2/m128, imm8
VPCMPESTRM xmm1, xmm2/m128, imm8
VPCMPGTB xmm1, xmm2, xmm3/m128
VPCMPGTB ymm1, ymm2, ymm3/m256
VPCMPGTD xmm1, xmm2, xmm3/m128
VPCMPGTD ymm1, ymm2, ymm3/m256
VPCMPGTQ xmm1, xmm2, xmm3/m128
VPCMPGTQ ymm1, ymm2, ymm3/m256
VPCMPGTW xmm1, xmm2, xmm3/m128
VPCMPGTW ymm1, ymm2, ymm3/m256
VPCMPISTRI xmm1, xmm2/m128, imm8
VPCMPISTRM xmm1, xmm2/m128, imm8
VPERM2F128 ymm1, ymm2, ymm3/m256, imm8
VPERM2I128 ymm1, ymm2, ymm3/m256, imm8
VPERMD ymm1, ymm2, ymm3/m256
VPERMILPD xmm1, xmm2, xmm3/m128
VPERMILPD xmm1, xmm2/m128, imm8
VPERMILPD ymm1, ymm2, ymm3/m256
VPERMILPD ymm1, ymm2/m256, imm8
VPERMILPS xmm1, xmm2, xmm3/m128
VPERMILPS xmm1, xmm2/m128, imm8
VPERMILPS ymm1, ymm2, ymm3/m256
VPERMILPS ymm1, ymm2/m256, imm8
VPERMPD ymm1, ymm2/m256, imm8
VPERMPS ymm1, ymm2, ymm3/m256
VPERMQ ymm1, ymm2/m256, imm8
VPEXTRB r32/m8, xmm1, imm8
VPEXTRD r32/m32, xmm1, imm8
VPEXTRQ r64/m64, xmm1, imm8
VPEXTRW r32, xmm1, imm8
VPEXTRW r32/m16, xmm2, imm8
VPGATHERDD xmm1, vm32x, xmm2
VPGATHERDD ymm1, vm32y, ymm2
VPGATHERDQ xmm1, vm32x, xmm2
VPGATHERDQ ymm1, vm32x, ymm2
VPGATHERQD xmm1, vm64x, xmm2
VPGATHERQD xmm1, vm64y, xmm2
VPGATHERQQ xmm1, vm64x, xmm2
VPGATHERQQ ymm1, vm64y, ymm2
VPHADDD xmm1, xmm2, xmm3/m128
VPHADDD ymm1, ymm2, ymm3/m256
VPHADDSW xmm1, xmm2, xmm3/m128
